1612934700.0,1794.91000000,1797.89000000,1792.69000000,1792.70000000,2541.01084000,1612934999999,4562338.81274720,2840,1301.50661000,2336893.81571820,0
1612935000.0,1792.70000000,1798.13000000,1791.87000000,1795.81000000,2660.04399000,1612935299999,4775042.04010960,2322,1623.87061000,2914949.35886060,0
1612935300.0,1795.81000000,1797.54000000,1794.00000000,1796.49000000,2122.21399000,1612935599999,3811120.28832470,2240,1173.86731000,2108084.33821270,0
1612935600.0,1796.50000000,1801.62000000,1794.00000000,1797.17000000,3104.37255000,1612935899999,5580450.12696360,3410,1640.85967000,2950706.63332680,0
1612935900.0,1797.17000000,1799.60000000,1792.22000000,1799.15000000,2655.30451000,1612936199999,4767997.73069700,2576,1506.59172000,2705934.37133390,0
1612936200.0,1799.07000000,1804.00000000,1798.52000000,1800.79000000,2704.16483000,1612936499999,4868945.15873610,2964,1809.07761000,3256849.44904730,0
1612936500.0,1800.78000000,1802.05000000,1796.94000000,1799.34000000,8429.71561000,1612936799999,15163205.69602930,3538,5171.03624000,9300003.29283720,0
1612936800.0,1799.41000000,1808.27000000,1799.29000000,1808.19000000,2313.06597000,1612937099999,4169420.30123740,3042,1317.03131000,2374902.39151110,0
1612937100.0,1808.19000000,1823.67000000,1806.73000000,1823.60000000,6595.01202000,1612937399999,11976919.18750130,6834,4382.53587000,7960558.16764990,0
1612937400.0,1823.42000000,1825.00000000,1810.85000000,1814.75000000,6621.30807000,1612937699999,12043541.05890610,6114,2838.31384000,5164317.68570610,0
1612937700.0,1814.76000000,1821.04000000,1810.95000000,1815.46000000,3561.34319000,1612937999999,6469651.05340700,3742,1516.18620000,2754954.89186070,0
1612938000.0,1815.48000000,1818.74000000,1808.82000000,1815.00000000,3416.99831000,1612938299999,6201853.27369590,3849,1727.85947000,3136338.17784140,0
1612938300.0,1815.00000000,1817.00000000,1812.78000000,1812.78000000,3185.09818000,1612938599999,5780792.58948320,2756,1329.81352000,2413745.65587180,0
1612938600.0,1812.79000000,1815.97000000,1812.78000000,1814.26000000,1917.28293000,1612938899999,3479139.93178190,2381,999.07595000,1812913.14226210,0
1612938900.0,1814.25000000,1814.91000000,1807.24000000,1809.56000000,3049.87084000,1612939199999,5522637.22199300,3262,1329.15799000,2406710.70302870,0
1612939200.0,1809.57000000,1810.00000000,1804.71000000,1805.57000000,3755.70698000,1612939499999,6791569.60429320,3194,2406.81801000,4352624.79985830,0
1612939500.0,1805.64000000,1810.00000000,1805.34000000,1807.17000000,3276.03851000,1612939799999,5923798.24196340,2617,2239.78930000,4050391.05986390,0
1612939800.0,1807.18000000,1807.98000000,1803.96000000,1805.64000000,2301.13224000,1612940099999,4155639.45541090,2415,1273.65939000,2300136.47154070,0
1612940100.0,1805.65000000,1808.65000000,1800.00000000,1801.81000000,3409.12170000,1612940399999,6155623.76939800,3558,1946.02613000,3514708.00200180,0
1612940400.0,1801.80000000,1806.00000000,1800.00000000,1805.42000000,4234.37814000,1612940699999,7637976.43518170,2923,2726.82462000,4919053.78785670,0
1612940700.0,1805.41000000,1813.03000000,1805.04000000,1811.24000000,3282.12058000,1612940999999,5936498.22142390,3146,2121.22443000,3837415.69618060,0
1612941000.0,1811.15000000,1811.78000000,1805.46000000,1807.42000000,3282.09772000,1612941299999,5932164.35791070,2876,1704.24060000,3080187.14900610,0
1612941300.0,1807.50000000,1808.84000000,1806.55000000,1807.40000000,2150.82667000,1612941599999,3888643.57689280,2332,1160.97771000,2099066.56142820,0
1612941600.0,1807.40000000,1811.51000000,1800.12000000,1806.76000000,3480.23463000,1612941899999,6286262.44757680,3382,1964.67778000,3549735.13624710,0
1612941900.0,1806.77000000,1810.00000000,1804.78000000,1808.07000000,2494.04250000,1612942199999,4508520.24234610,2500,1158.10391000,2093513.18614310,0
1612942200.0,1808.07000000,1811.08000000,1806.73000000,1809.66000000,2674.55355000,1612942499999,4838800.83229150,2547,1109.84049000,2008060.87061920,0
1612942500.0,1809.71000000,1816.65000000,1809.50000000,1812.53000000,4590.92860000,1612942799999,8326836.15499570,3572,3208.08827000,5819583.10685550,0
1612942800.0,1812.41000000,1816.11000000,1810.00000000,1815.13000000,4311.52334000,1612943099999,7820250.69847440,3349,2394.85038000,4343889.25051370,0
